timestamp (UTC),PUMP 3 BLOOM duration_time (917d1de4-4b1a-471e-911c-9230f95d998e)
2021-03-20 20:45:36.502,3.0
2021-03-23 12:02:34.106,3.0
2021-03-23 14:32:41.416,3.0
2021-03-23 15:12:23.471,3.0
2021-03-23 22:55:49.292,4.0
2021-03-24 03:57:30.646,5.0
2021-03-29 03:39:20.002,4.0
2021-03-29 15:34:40.090,6.0
2021-03-29 17:02:06.575,4.0
2021-04-03 16:30:38.961,3.0
2021-04-04 17:40:17.257,2.0
2021-04-05 03:29:03.569,3.0
2021-04-07 01:51:38.737,4.0
2021-04-10 16:17:09.025,2.0
2021-04-10 22:55:30.425,3.0
2021-04-11 01:58:15.835,3.0
2021-04-13 02:42:46.798,4.0
2021-04-13 15:12:47.708,4.0
2021-04-13 21:03:59.937,4.0
2021-04-19 02:48:31.547,3.0
2021-04-19 19:44:27.560,2.0
2021-04-21 02:57:41.067,3.0
2021-04-22 21:53:00.672,3.0
2021-04-24 23:22:11.033,4.0
2021-04-25 09:51:48.904,4.0
2021-04-29 20:00:35.342,5.0
2021-04-29 21:56:21.832,5.0
2021-04-29 23:16:21.243,6.0
2021-05-03 03:10:09.165,3.0
2021-05-12 13:46:12.075,4.0
2021-05-16 15:25:47.477,3.0
2021-05-22 03:03:49.023,4.0
2021-05-24 21:10:32.683,5.0
2021-05-25 18:19:34.694,5.0
2021-06-04 05:05:24.928,6.0
2021-06-08 13:32:06.223,4.0
2021-07-27 15:45:38.666,8.0
2021-07-28 23:53:18.624,7.0
2021-07-29 22:57:58.971,10.0
